"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"J2","Header,3POS,0.1",Vert","7.534mm","33.7797mm","7.534mm","33.7797mm","4.994mm","33.7797mm","T","360.00","Generic Header"
"J1","CONNECTOR,TerminalBlock,3_POS,1935174","16mm","26.9798mm","16mm","26.9798mm","11mm","26.9798mm","B","0.00","1935174"
"C15","Cap,0805","-22.987mm","40.8198mm","-22.987mm","40.8198mm","-23.937mm","40.8198mm","T","360.00","Cap"
"C14","Cap,0805","-20.193mm","33.9618mm","-20.193mm","33.9618mm","-20.193mm","33.0118mm","T","90.00","Cap"
"C13","Cap,0805","-22.987mm","43.2328mm","-22.987mm","43.2328mm","-23.937mm","43.2328mm","T","360.00","08055C104JAT2A"
"C12","Cap,0805","-5.334mm","34.5968mm","-5.334mm","34.5968mm","-5.334mm","35.5468mm","T","270.00","08055C104JAT2A"
"C10","Cap,0805","0.635mm","48.5668mm","0.635mm","48.5668mm","0.635mm","49.5168mm","T","270.00","08055C104JAT2A"
"C9","Cap,0805","6.858mm","48.4398mm","6.858mm","48.4398mm","6.858mm","47.4898mm","T","90.00","08055C104JAT2A"
"C8","Cap,0805","-4.064mm","52.5038mm","-4.064mm","52.5038mm","-4.064mm","51.5538mm","T","90.00","08055C104JAT2A"
"C7","Cap,0805","9.017mm","52.5038mm","9.017mm","52.5038mm","9.017mm","51.5538mm","T","90.00","08055C104JAT2A"
"C6","Cap,0805","13.462mm","45.2648mm","13.462mm","45.2648mm","13.462mm","46.2148mm","T","270.00","08055C104JAT2A"
"C4","Cap,0805","8.382mm","44.6298mm","8.382mm","44.6298mm","9.332mm","44.6298mm","T","180.00","08055C104JAT2A"
"C3","Cap,0805","-12.634mm","45.0108mm","-12.634mm","45.0108mm","-11.684mm","45.0108mm","T","180.00","08055C104JAT2A"
"C2","Cap,0805","-12.634mm","47.4238mm","-12.634mm","47.4238mm","-11.684mm","47.4238mm","T","180.00","08055C104JAT2A"
"C1","Cap,0805","16.002mm","34.5968mm","16.002mm","34.5968mm","15.052mm","34.5968mm","T","360.00","08055C104JAT2A"
"D1","LED,SMD,Bottom_Entry,1206","-15.316mm","50.7172mm","-17.116mm","50.7048mm","-17.116mm","50.7048mm","T","360.00","LTST-C230KGKT"
"D2","SOD123","-27.616mm","37.5048mm","-27.616mm","37.5048mm","-27.616mm","39.1398mm","T","270.00","MBR0560"
"J3","CONNECTOR,TerminalBlock,3_POS,1935174","-16mm","26.9798mm","-16mm","26.9798mm","-21mm","26.9798mm","B","0.00","1935174"
"J4","TERM_BLOCK_2POS_SIDE_ENTRY_5MM","-0.04mm","27mm","2.5mm","27mm","2.5mm","27mm","B","0.00","TE Connectivity 282836-2"
"M4","Standoff,Hex,M3,8mm","29.5mm","52.0048mm","29.5mm","52.0048mm","29.5mm","52.0048mm","B","180.00","M3 hex Standoff"
"M2","Standoff,Hex,M3,8mm","29.5mm","26.0048mm","30.856mm","25.8338mm","29.5mm","26.0048mm","B","180.00","M3 hex Standoff"
"R27","res,_0805,_HD","21.2mm","38.7298mm","21.2mm","38.7298mm","21.2mm","39.6798mm","T","270.00","CR0805-J/-000ELF"

