"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q1","SOT23-3","-42.1455mm","23.99mm","-42.1455mm","23.99mm","-43.1031mm","22.9312mm","T","180.00","SMBT2222A"
"M1","Standoff,Hex,M3,8mm","-63.0095mm","30.73mm","-63.0095mm","30.73mm","-63.0095mm","30.73mm","B","90.00","M3 hex Standoff"
"J2","Header,3POS,0.1",Vert","-25.9755mm","12.505mm","-25.9755mm","12.505mm","-28.5155mm","12.505mm","T","360.00","Generic Header"
"J1","CONNECTOR,TerminalBlock,3_POS,1935174","-17.5095mm","5.705mm","-17.5095mm","5.705mm","-22.5095mm","5.705mm","B","0.00","1935174"
"C15","Cap,0805","-56.4965mm","19.545mm","-56.4965mm","19.545mm","-57.4465mm","19.545mm","T","360.00","Cap"
"C14","Cap,0805","-53.7025mm","12.687mm","-53.7025mm","12.687mm","-53.7025mm","11.737mm","T","90.00","Cap"
"C13","Cap,0805","-56.4965mm","21.958mm","-56.4965mm","21.958mm","-57.4465mm","21.958mm","T","360.00","08055C104JAT2A"
"C12","Cap,0805","-38.8435mm","13.322mm","-38.8435mm","13.322mm","-38.8435mm","14.272mm","T","270.00","08055C104JAT2A"
"C10","Cap,0805","-32.8745mm","27.292mm","-32.8745mm","27.292mm","-32.8745mm","28.242mm","T","270.00","08055C104JAT2A"
"C9","Cap,0805","-26.6515mm","27.165mm","-26.6515mm","27.165mm","-26.6515mm","26.215mm","T","90.00","08055C104JAT2A"
"C8","Cap,0805","-37.5735mm","31.229mm","-37.5735mm","31.229mm","-37.5735mm","30.279mm","T","90.00","08055C104JAT2A"
"C7","Cap,0805","-24.4925mm","31.229mm","-24.4925mm","31.229mm","-24.4925mm","30.279mm","T","90.00","08055C104JAT2A"
"C6","Cap,0805","-20.0475mm","23.99mm","-20.0475mm","23.99mm","-20.0475mm","24.94mm","T","270.00","08055C104JAT2A"
"C4","Cap,0805","-25.1275mm","23.355mm","-25.1275mm","23.355mm","-24.1775mm","23.355mm","T","180.00","08055C104JAT2A"
"C3","Cap,0805","-46.1435mm","23.736mm","-46.1435mm","23.736mm","-45.1935mm","23.736mm","T","180.00","08055C104JAT2A"
"C2","Cap,0805","-46.1435mm","26.149mm","-46.1435mm","26.149mm","-45.1935mm","26.149mm","T","180.00","08055C104JAT2A"
"C1","Cap,0805","-17.5075mm","13.322mm","-17.5075mm","13.322mm","-18.4575mm","13.322mm","T","360.00","08055C104JAT2A"
"D1","LED,SMD,Bottom_Entry,1206","-48.8255mm","29.4425mm","-50.6255mm","29.43mm","-50.6255mm","29.43mm","T","360.00","LTST-C230KGKT"
"D2","SOD123","-61.1255mm","16.23mm","-61.1255mm","16.23mm","-61.1255mm","17.865mm","T","270.00","MBR0560"
"J3","CONNECTOR,TerminalBlock,3_POS,1935174","-49.5095mm","5.705mm","-49.5095mm","5.705mm","-54.5095mm","5.705mm","B","0.00","1935174"
"J4","TERM_BLOCK_2POS_SIDE_ENTRY_5MM","-33.5495mm","5.7252mm","-31.0095mm","5.7252mm","-31.0095mm","5.7252mm","B","0.00","TE Connectivity 282836-2"
"M4","Standoff,Hex,M3,8mm","-4.0095mm","30.73mm","-4.0095mm","30.73mm","-4.0095mm","30.73mm","B","180.00","M3 hex Standoff"
"M2","Standoff,Hex,M3,8mm","-4.0095mm","4.73mm","-2.6535mm","4.559mm","-4.0095mm","4.73mm","B","180.00","M3 hex Standoff"
"R27","res,_0805,_HD","-12.3095mm","17.455mm","-12.3095mm","17.455mm","-12.3095mm","18.405mm","T","270.00","CR0805-J/-000ELF"

